Login_ID,User_ID,Timestamp,Location,IP_Address,Login_Status,Access_Duration,Access_Duration_Minutes
LID000001,UID00913,08-05-2025 17:10,Bengaluru,81.154.20.149,Success,2160,36:00:00
LID000002,UID01829,15-05-2025 04:47,Mangaluru,113.163.209.250,Success,5553,92:33:00
LID000003,UID04468,29-05-2025 18:52,Mysuru,91.0.196.102,Success,270,04:30
LID000004,UID00245,04-05-2025 20:29,Mysuru,77.254.42.34,Success,4149,69:09:00
LID000005,UID04932,14-05-2025 14:32,Bengaluru,8.108.176.251,Success,5875,97:55:00
LID000006,UID04465,30-05-2025 13:22,Shivamogga,103.173.150.154,Success,4837,80:37:00
LID000007,UID02279,14-05-2025 00:18,Bengaluru,24.230.240.50,Success,1317,21:57
LID000008,UID03463,03-05-2025 15:02,Kalaburagi,181.27.237.216,Success,1773,29:33:00
LID000009,UID02758,23-05-2025 19:51,Mysuru,41.243.96.76,Failed,0,00:00
LID000010,UID00793,13-05-2025 18:19,Kalaburagi,202.172.86.30,Success,4955,82:35:00
LID000011,UID02167,08-05-2025 06:33,Bengaluru,70.48.153.229,Success,4402,73:22:00
LID000012,UID01023,20-05-2025 17:42,Shivamogga,168.135.111.71,Failed,0,00:00
LID000013,UID02402,05-05-2025 10:05,Tumakuru,179.254.147.111,Success,2972,49:32:00
LID000014,UID04730,21-05-2025 16:29,Hubballi,82.195.110.208,Success,385,06:25
LID000015,UID01867,20-05-2025 20:48,Belagavi,132.115.151.116,Success,7016,116:56:00
LID000016,UID01908,05-05-2025 12:51,Mysuru,146.133.85.19,Success,3724,62:04:00
LID000017,UID02989,07-05-2025 04:25,Mangaluru,169.227.59.103,Success,1726,28:46:00
LID000018,UID02188,21-05-2025 18:20,Mysuru,125.117.150.145,Success,1411,23:31
LID000019,UID04376,11-05-2025 04:58,Hubballi,45.104.144.43,Failed,0,00:00
LID000020,UID03109,16-05-2025 06:31,Belagavi,132.145.219.213,Success,5252,87:32:00
LID000021,UID04563,01-06-2025 21:09,Hubballi,143.170.251.114,Success,6914,115:14:00
LID000022,UID00459,11-05-2025 05:50,Hubballi,24.163.105.158,Success,6604,110:04:00
LID000023,UID02585,30-05-2025 08:21,Shivamogga,117.48.67.23,Success,1738,28:58:00
LID000024,UID04647,06-05-2025 00:38,Kalaburagi,112.131.123.138,Success,4099,68:19:00
LID000025,UID03242,18-05-2025 14:59,Ballari,36.60.111.32,Failed,0,00:00
LID000026,UID01144,13-05-2025 13:16,Hubballi,218.17.215.90,Success,4425,73:45:00
LID000027,UID02153,13-05-2025 15:11,Tumakuru,153.82.8.116,Success,4790,79:50:00
LID000028,UID03272,25-05-2025 14:04,Kalaburagi,72.239.180.7,Success,1143,19:03
LID000029,UID04175,15-05-2025 06:48,Ballari,184.104.97.23,Failed,0,00:00
LID000030,UID00386,31-05-2025 16:33,Mysuru,28.199.227.146,Failed,0,00:00
LID000031,UID01311,20-05-2025 21:13,Shivamogga,114.54.155.88,Success,3162,52:42:00
LID000032,UID03127,28-05-2025 01:06,Tumakuru,17.129.250.50,Success,4344,72:24:00
LID000033,UID02060,08-05-2025 15:13,Davanagere,106.143.73.72,Success,104,01:44
LID000034,UID00939,23-05-2025 19:19,Davanagere,152.160.7.17,Success,6306,105:06:00
LID000035,UID02787,21-05-2025 20:05,Mysuru,157.244.135.128,Success,1305,21:45
LID000036,UID03717,28-05-2025 23:55,Bengaluru,112.47.6.185,Success,7184,119:44:00
LID000037,UID02158,08-05-2025 20:55,Davanagere,145.19.169.242,Success,4168,69:28:00
LID000038,UID00872,19-05-2025 19:48,Belagavi,91.211.49.166,Success,4168,69:28:00
LID000039,UID04989,10-05-2025 23:44,Hubballi,24.109.174.220,Failed,0,00:00
LID000040,UID01324,27-05-2025 14:41,Davanagere,179.103.183.171,Success,4354,72:34:00
